param,vtype
--very-fast,bool
--fast,bool
--sensitive,bool
--very-sensitive,bool
--very-fast-local,bool
--fast-local,bool
--sensitive-local,bool
--very-sensitive-local,bool
-N,int
-L,int
-k,int
-a,bool
-D,int
-R,int
-X,int
--n-ceil,str
--dpad,int
--gbar,int
--ignore-quals,bool
--nofw,bool
--norc,bool
--no-1mm-upfront,bool
--end-to-end,bool
--local,bool
--ma,int
--mp,int
--np,int
--rdg,str
--rfg,str
--score-min,str
--quiet,bool
--met,int
--no-unal,bool
--no-head,bool
--no-sg,bool
-p,int
--threads,int
--reorder,bool
--non-deterministic,int
--no-mixed,bool
--no-discordant,bool
--dovetail,bool
--no-contain,bool
--no-overlap,bool
-i,str
--maxins,int